%eq	step	Species_uuid	Col_time	Loc_Abund	Meta_Abund	pi	pi_net	Dxy	S	S_island	pi_island	tajD_island	S_meta	pi_meta
0.1944	200000	316	1064	1	54000	0.00057672917927	3.89863547758e-05	0.000877192982456	4	0	0.0	0	4	0.00167641325536
0.1944	200000	2503	5635	3	24000	0.00143980641258	0.00152046783626	0.00263157894737	5	0	0.0	0	5	0.00222222222222
0.1944	200000	2032	1035	1	10000	0.00153660012099	0.00218323586745	0.00298245614035	3	0	0.0	0	3	0.00159844054581
0.1944	200000	2948	30748	13	5000	0.000116959064327	0.0	8.77192982456e-05	1	1	0.000175438596491	-1.16439105425	0	0.0
0.1944	200000	645	34310	4	96000	0.002524702561	0.000233918128655	0.00385964912281	19	0	0.0	0	19	0.0072514619883
0.1944	200000	4112	4081	1	33000	0.000233918128655	0.0	0.000350877192982	2	0	0.0	0	2	0.000701754385965
0.1944	200000	3550	11398	1	7000	0.0	0	0	0	0	0	0	0	0
0.1944	200000	2630	50549	8	77000	0.00530752167776	0.00591464040218	0.00956140350877	10	1	0.000470914127424	-0.0861022457553	8	0.00682261208577
0.1944	200000	2298	17891	5	2000	0.0	0	0	0	0	0	0	0	0
0.1944	200000	1044	2680	1	3000	0.0	0	0	0	0	0	0	0	0
0.1944	200000	1474	87931	9	7000	0.000943738656987	0.000258541089566	0.000877192982456	3	3	0.00123730378578	-0.443282920753	0	0.0
0.1944	200000	429	67873	11	6000	0.00146803791087	0.000223658561609	0.00140350877193	5	4	0.00173591874423	-0.354341795798	1	0.000623781676413
0.1944	200000	3231	8657	4	3000	0.000459770114943	9.23361034164e-06	0.000438596491228	3	2	0.00050784856879	-1.14070375073	1	0.000350877192982
0.1944	200000	2351	11888	16	10000	0.000342811050615	3.89863547758e-05	0.000526315789474	2	0	0.0	0	2	0.000974658869396
0.1944	200000	1988	26747	2	109000	0.00225851986288	0.000389863547758	0.00350877192982	14	0	0.0	0	14	0.00623781676413
0.1944	200000	483	20088	3	90000	0.0043315184513	0.00233097363291	0.00666666666667	12	2	0.001108033241	0.282153665621	10	0.00756335282651
0.1944	200000	3679	17163	5	11000	0.000645291389393	0.000272904483431	0.00105263157895	2	0	0.0	0	2	0.00155945419103
0.1944	200000	1190	69017	23	121000	0.00774349667272	0.00550630963373	0.0128947368421	22	4	0.000858725761773	-1.63814457155	18	0.013918128655
0.1944	200000	3158	121278	10	91000	0.00765476910667	0.00819636811327	0.0138596491228	22	1	0.000332409972299	-0.591550124739	18	0.0109941520468
0.1944	200000	916	88197	91	29000	0.00350473885864	0.0028162511542	0.00587719298246	8	2	0.00050784856879	-1.14070375073	6	0.00561403508772
0.1944	200000	4961	61589	6	21000	0.00174228675136	0.00288499025341	0.00350877192982	3	0	0.0	0	2	0.00124756335283
0.1944	200000	3620	157238	1	21000	0.00792498487598	0.0151913409254	0.0161403508772	12	2	0.000923361034164	-0.155648616333	2	0.000974658869396
0.1944	200000	610	19255	12	21000	0.0019802379512	0.00116959064327	0.00324561403509	7	1	0.000175438596491	-1.16439105425	6	0.00397660818713
0.1944	200000	329	196537	63	21000	0.00581972171809	0.00828870421668	0.0102631578947	14	8	0.00207756232687	-1.60037971834	2	0.00187134502924
0.1944	200000	3514	132714	21	6000	0.00586005242993	0.0092243767313	0.0105263157895	12	6	0.00225300092336	-0.766944446821	1	0.000350877192982
0.1944	200000	1805	56291	17	103000	0.00625126033474	0.00551862111419	0.0105263157895	16	3	0.00112650046168	-0.642767625468	13	0.00888888888889
0.1944	200000	4965	17200	1	94000	0.00527929017947	0.00661639478814	0.00973684210526	12	1	0.000470914127424	-0.0861022457553	11	0.00576998050682
0.1944	200000	4483	1205	1	58000	0.00129864892115	0.000506822612086	0.00210526315789	5	0	0.0	0	5	0.00319688109162
0.1944	200000	3066	6239	2	165000	0.00102036700948	0.000155945419103	0.00157894736842	6	0	0.0	0	6	0.00284600389864
0.1944	200000	2355	48126	6	31000	0.00393224440411	0.00527239150508	0.00728070175439	9	2	0.00050784856879	-1.14070375073	5	0.00350877192982
0.1944	200000	3040	104	1	12000	0.00032667876588	0.000116959064327	0.000526315789474	1	0	0.0	0	1	0.000818713450292
0.1944	200000	4414	40619	11	75000	0.00339584593668	0.00393762183236	0.00622807017544	10	1	0.000175438596491	-1.16439105425	7	0.00440545808967
0.1944	200000	1790	1162	1	87000	0.00639645089736	0.00526315789474	0.0112280701754	16	0	0.0	0	16	0.0119298245614
0.1944	200000	4705	83502	1	38000	0.000419439403105	0.000233918128655	0.000701754385965	1	0	0.0	0	1	0.00093567251462
0.1944	200000	528	73245	13	201000	0.00601734220609	0.0082261208577	0.0114912280702	17	1	0.000175438596491	-1.16439105425	13	0.00635477582846
0.1944	200000	3713	16249	7	29000	0.00231094978826	0.000701754385965	0.00350877192982	9	2	0.000350877192982	-1.51283569039	7	0.00526315789474
