K	c	step	%equil	colrate	extrate	shannon	bin_0_0	bin_0_1	bin_0_2	bin_0_3	bin_0_4	bin_0_5	bin_0_6	bin_0_7	bin_0_8	bin_0_9	bin_1_0	bin_1_1	bin_1_2	bin_1_3	bin_1_4	bin_1_5	bin_1_6	bin_1_7	bin_1_8	bin_1_9	bin_2_0	bin_2_1	bin_2_2	bin_2_3	bin_2_4	bin_2_5	bin_2_6	bin_2_7	bin_2_8	bin_2_9	bin_3_0	bin_3_1	bin_3_2	bin_3_3	bin_3_4	bin_3_5	bin_3_6	bin_3_7	bin_3_8	bin_3_9	bin_4_0	bin_4_1	bin_4_2	bin_4_3	bin_4_4	bin_4_5	bin_4_6	bin_4_7	bin_4_8	bin_4_9	bin_5_0	bin_5_1	bin_5_2	bin_5_3	bin_5_4	bin_5_5	bin_5_6	bin_5_7	bin_5_8	bin_5_9	bin_6_0	bin_6_1	bin_6_2	bin_6_3	bin_6_4	bin_6_5	bin_6_6	bin_6_7	bin_6_8	bin_6_9	bin_7_0	bin_7_1	bin_7_2	bin_7_3	bin_7_4	bin_7_5	bin_7_6	bin_7_7	bin_7_8	bin_7_9	bin_8_0	bin_8_1	bin_8_2	bin_8_3	bin_8_4	bin_8_5	bin_8_6	bin_8_7	bin_8_8	bin_8_9	bin_9_0	bin_9_1	bin_9_2	bin_9_3	bin_9_4	bin_9_5	bin_9_6	bin_9_7	bin_9_8	bin_9_9
5000	0.005	200000	0.1944	0.0051	0.004595	2.74284013304	8	0	0	0	0	0	0	0	0	0	38	34	6	1	0	0	0	0	0	0	2	10	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	400000	0.354	0.005065	0.0047975	2.98846309111	1	0	0	0	0	0	0	0	0	0	30	44	9	2	0	0	0	0	0	0	4	5	5	2	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	600000	0.5008	0.00504	0.00486833333333	3.12798751526	1	0	0	0	0	0	0	0	0	0	27	37	4	1	0	0	0	0	0	0	1	10	6	2	3	0	0	0	0	0	0	2	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	800000	0.4666	0.00507	0.00493375	2.86476695406	4	0	0	0	0	0	0	0	0	0	27	38	6	0	1	0	0	0	0	0	4	11	4	2	2	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	1000000	0.52	0.005027	0.004896	2.9837165946	8	0	0	0	0	0	0	0	0	0	42	41	6	0	0	0	0	0	0	0	3	7	4	2	0	1	0	0	0	0	1	7	1	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	1200000	0.6026	0.00504666666667	0.00494916666667	3.38625713483	5	0	0	0	0	0	0	0	0	0	19	41	7	1	0	0	0	0	0	0	0	7	12	3	1	0	0	0	0	0	0	2	2	4	1	0	0	1	0	0	2	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	1400000	0.6256	0.00507071428571	0.00497857142857	3.35311075037	4	0	0	0	0	0	0	0	0	0	32	40	3	2	0	0	0	0	0	0	1	8	5	5	3	0	0	0	0	0	2	2	1	4	0	1	0	0	0	0	2	1	2	2	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0.005	1600000	0.7068	0.005060625	0.004979375	3.28251748855	4	0	0	0	0	0	0	0	0	0	28	38	9	1	0	0	0	0	0	0	4	9	5	4	1	1	1	0	0	0	0	1	2	2	0	2	0	0	0	0	0	1	2	1	4	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5000	0.005	1800000	0.7946	0.00506222222222	0.004985	3.32304393569	1	0	0	0	0	0	0	0	0	0	41	34	6	1	1	0	0	0	0	0	6	12	5	1	3	0	0	0	0	0	0	3	4	6	0	1	3	0	0	0	1	1	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5000	0.005	2000000	0.8638	0.0050295	0.0049665	3.26879962429	2	0	0	0	0	0	0	0	0	0	27	45	8	0	0	1	0	0	0	0	4	4	8	5	3	1	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
